parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,index,par_type,item
theta,0.454,0.167,0.145,0.767,0.001,0.001,12687,12396,1,511,person,
theta,-0.439,0.183,-0.787,-0.101,0.002,0.001,12537,12764,1,1190,person,
theta,-0.372,0.158,-0.678,-0.082,0.002,0.001,10249,11605,1,77,person,
theta,0.998,0.153,0.718,1.294,0.002,0.001,8867,12222,1,1180,person,
theta,1.499,0.161,1.187,1.79,0.002,0.001,6439,9942,1,150,person,
theta,0.453,0.167,0.141,0.767,0.001,0.001,12585,12113,1,1049,person,
theta,0.588,0.162,0.291,0.898,0.002,0.001,11322,12251,1,238,person,
theta,-2.365,0.158,-2.651,-2.062,0.003,0.001,3736,8226,1,57,person,
theta,0.845,0.161,0.534,1.141,0.002,0.001,10975,12575,1,764,person,
theta,0.551,0.152,0.259,0.833,0.002,0.001,9469,10078,1,175,person,
theta,0.105,0.178,-0.232,0.438,0.002,0.002,13366,11147,1,1000,person,
theta,-0.603,0.166,-0.922,-0.301,0.002,0.001,10828,11219,1,756,person,
theta,-0.442,0.162,-0.744,-0.136,0.002,0.001,10041,11484,1,761,person,
theta,-1.359,0.173,-1.683,-1.039,0.002,0.001,8463,12032,1,959,person,
theta,0.921,0.156,0.624,1.21,0.002,0.001,8820,11269,1,789,person,
theta,-0.228,0.165,-0.534,0.092,0.001,0.001,12544,11638,1,67,person,
theta,0.465,0.149,0.192,0.75,0.002,0.001,9621,11726,1,304,person,
theta,-1.984,0.185,-2.327,-1.631,0.002,0.002,7392,10336,1,63,person,
theta,0.349,0.17,0.035,0.675,0.001,0.001,12928,12498,1,768,person,
theta,0.017,0.158,-0.274,0.319,0.001,0.001,12812,12474,1,1095,person,
theta,0.924,0.154,0.635,1.211,0.002,0.001,8614,11397,1,795,person,
theta,-0.907,0.169,-1.223,-0.589,0.002,0.001,11546,12352,1,465,person,
theta,-0.034,0.158,-0.328,0.267,0.002,0.001,10727,11781,1,796,person,
theta,0.982,0.149,0.703,1.255,0.002,0.001,8278,12065,1,1091,person,
theta,-0.007,0.16,-0.311,0.291,0.002,0.001,11174,11527,1,106,person,
theta,0.303,0.168,-0.017,0.61,0.002,0.001,12107,13310,1,66,person,
theta,0.74,0.155,0.446,1.028,0.002,0.001,9884,11782,1,276,person,
theta,-0.242,0.164,-0.549,0.061,0.001,0.001,11984,11537,1,855,person,
theta,0.926,0.17,0.608,1.246,0.002,0.001,10842,11439,1,1047,person,
theta,-0.742,0.168,-1.05,-0.421,0.002,0.001,10986,11344,1,146,person,
theta,-0.482,0.171,-0.816,-0.176,0.001,0.001,13028,10780,1,510,person,
theta,0.669,0.156,0.367,0.952,0.002,0.001,10305,11150,1,145,person,
theta,0.334,0.162,0.023,0.633,0.002,0.001,10949,12547,1,318,person,
theta,0.683,0.157,0.389,0.969,0.001,0.001,11371,12986,1,1083,person,
theta,0.89,0.147,0.608,1.154,0.002,0.001,7480,10760,1,703,person,
theta,0.519,0.156,0.237,0.828,0.002,0.001,9873,11663,1,938,person,
theta,1.168,0.154,0.869,1.452,0.002,0.001,7807,11329,1,1014,person,
theta,-0.469,0.199,-0.846,-0.097,0.002,0.002,15909,12425,1,313,person,
theta,0.557,0.145,0.279,0.827,0.002,0.001,9170,11910,1,964,person,
theta,1.102,0.165,0.79,1.408,0.002,0.001,9690,13361,1,984,person,
theta,-1.379,0.152,-1.662,-1.086,0.002,0.001,6918,9521,1,1160,person,
theta,-0.409,0.192,-0.764,-0.042,0.002,0.002,15115,12640,1,1109,person,
theta,0.219,0.186,-0.128,0.568,0.002,0.002,14793,12958,1,429,person,
theta,0.733,0.157,0.441,1.027,0.001,0.001,11579,13014,1,1135,person,
theta,-0.265,0.172,-0.584,0.066,0.001,0.001,13589,12323,1,1152,person,
theta,-0.6,0.168,-0.911,-0.282,0.002,0.001,12523,12696,1,508,person,
theta,-0.691,0.219,-1.094,-0.275,0.002,0.002,19857,12748,1,169,person,
